"StrongsID","lemma","xlit","pronounce","description","PartOfSpeech","Language"
"H2295","חׇגְלָה","Choglâh","khog-law'","of uncertain derivation; probably a partridge; Choglah, an Israelitess; Hoglah. See also בֵּית חׇגְלָה.","Proper Name Feminine","x-pn"
"H2296","חָגַר","châgar","khaw-gar'","a primitive root; to gird on (as a belt, armor, etc.); be able to put on, be afraid, appointed, gird, restrain, [idiom] on every side.","Verb","heb"
"H2297","חַד","chad","khad","abridged from אֶחָד; one; one.","Adjective","heb"
"H2298","חַד","chad","khad","(Aramaic) corresponding to חַד; as card. one; as article single; as an ordinal, first; adverbially, at once; a, first, one, together.","Adjective","arc"
"H2299","חַד","chad","khad","from חָדַד; sharp; sharp.","Adjective","heb"
"H23","אֲבִיאָסָף","ʼĂbîyʼâçâph","ab-ee-aw-sawf'","from אָב and אָסַף; father of gathering (i.e. gatherer); Abiasaph, an Israelite; Abiasaph.","Proper Name Masculine","x-pn"
"H230","אֲזָד","ʼăzâd","az-zawd'","(Aramaic) of uncertain derivation; firm; be gone.","Verb","arc"
"H2300","חָדַד","châdad","khaw-dad'","a primitive root; to be (causatively, make) sharp or (figuratively) severe; be fierce, sharpen.","Verb","heb"
"H2301","חֲדַד","Chădad","khad-ad'","from חָדַד; fierce; Chadad, an Ishmaelite; Hadad.","Proper Name Masculine","x-pn"
"H2302","חָדָה","châdâh","khaw-daw'","a primitive root; to rejoice; make glad, be joined, rejoice.","Verb","heb"
"H2303","חַדּוּד","chaddûwd","khad-dood'","from חָדַד; a point; sharp.","Adjective","heb"
"H2304","חֶדְוָה","chedvâh","khed-vaw'","from חָדָה; rejoicing; gladness, joy.","Noun Feminine","heb"
"H2305","חֶדְוָה","chedvâh","khed-vaw'","(Aramaic) corresponding to חֶדְוָה; {rejoicing}; joy.","Noun Feminine","arc"
"H2306","חֲדִי","chădîy","khad-ee'","(Aramaic) corresponding to חָזֶה; a breast; breast.","Noun Masculine","arc"
"H2307","חָדִיד","Châdîyd","khaw-deed'","from חָדַד; a peak; Chadid, a place in Palestine; Hadid.","Proper Name Masculine","x-pn"
"H2308","חָדַל","châdal","khaw-dal'","a primitive root; properly, to be flabby, i.e. (by implication) desist; (figuratively) be lacking or idle; cease, end, fall, forbear, forsake, leave (off), let alone, rest, be unoccupied, want.","Verb","heb"
"H2309","חֶדֶל","chedel","kheh'-del","from חָדַל; rest, i.e. the state of the dead; world.","Noun Masculine","heb"
"H231","אֵזוֹב","ʼêzôwb","ay-zobe'","probably of foreign derivation; hyssop; hyssop.","Noun Masculine","heb"
"H2310","חָדֵל","châdêl","khaw-dale'","from חָדַל; vacant, i.e. ceasing or destitute; he that forbeareth, frail, rejected.","Adjective","heb"
"H2311","חַדְלַי","Chadlay","khad-lah'-ee","from חֶדֶל; idle; Chadlai, an Israelite; Hadlai.","Proper Name Masculine","x-pn"
"H2312","חֵדֶק","chêdeq","khay'-dek","from an unused root meaning to sting; a prickly plant; brier, thorn.","Noun Masculine","heb"
"H2313","חִדֶּקֶל","Chiddeqel","khid-deh'-kel","probably of foreign origin; the Chiddekel (or Tigris) river; Hiddekel.","Proper Name Masculine","heb"
"H2314","חָדַר","châdar","khaw-dar'","a primitive root; properly, to inclose (as a room), i.e. (by analogy,) to beset (as in a siege); enter a privy chamber.","Verb","heb"
"H2315","חֶדֶר","cheder","kheh'-der","from חָדַר; an apartment (usually literal); ((bed) inner) chamber, innermost(-ward) part, parlour, [phrase] south, [idiom] within.","Noun Masculine","heb"
"H2316","חֲדַר","Chădar","khad-ar'","another form for חֶדֶר; chamber; Chadar, an Ishmaelite; Hadar.","Proper Name Masculine","x-pn"
"H2317","חַדְרָךְ","Chadrâk","khad-rawk'","of uncertain derivation; Chadrak, a Syrian deity; Hadrach.","Proper Name Location","x-pn"
"H2318","חָדַשׁ","châdash","khaw-dash'","a primitive root; to be new; causatively, to rebuild; renew, repair.","Verb","heb"
"H2319","חָדָשׁ","châdâsh","khaw-dawsh'","from חָדַשׁ; new; fresh, new thing.","Adjective","heb"
"H232","אֵזוֹר","ʼêzôwr","ay-zore'","from אֲזִקִּים; something girt; a belt, also a band; girdle.","Noun Masculine","heb"
"H2320","חֹדֶשׁ","chôdesh","kho'-desh","from חָדַשׁ; the new moon; by implication, a month; month(-ly), new moon.","Noun Masculine","heb"
"H2321","חֹדֶשׁ","Chôdesh","kho'-desh","the same as חֹדֶשׁ; Chodesh, an Israelitess; Hodesh.","Proper Name Feminine","x-pn"
"H2322","חֲדָשָׁה","Chădâshâh","khad-aw-shaw'","feminine of חָדָשׁ; new; Chadashah, a place in Palestine; Hadashah.","Proper Name Location","x-pn"
"H2323","חֲדָת","chădâth","khad-ath'","(Aramaic) corresponding to חָדָשׁ; new; new.","Adjective","arc"
"H2324","חֲוָא","chăvâʼ","khav-aw'","(Aramaic) corresponding to חָוָה; to show; shew.","Verb","arc"
"H2325","חוּב","chûwb","khoob","also חָיַב; a primitive root; properly, perhaps to tie, i.e. (figuratively and reflexively) to owe, or (by implication) to forfeit; make endanger.","Verb","heb"
"H2326","חוֹב","chôwb","khobe","from חוּב; debt; debtor.","Noun Masculine","heb"
"H2327","חוֹבָה","chôwbâh","kho-baw'","feminine active participle of חָבָה; hiding place; Chobah, a place in Syria; Hobah.","Proper Name Location","x-pn"
"H2328","חוּג","chûwg","khoog","a primitive root (compare חָגַג); to describe a circle; compass.","Verb","heb"
"H2329","חוּג","chûwg","khoog","from חוּג; a circle; circle, circuit, compass.","Noun Masculine","heb"
"H233","אֲזַי","ʼăzay","az-ah'ee","probably from אָז; at that time; then.","Adverb","heb"
"H2330","חוּד","chûwd","khood","a primitive root; properly, to tie a knot, i.e. (figuratively) to propound a riddle; put forth.","Verb","heb"
"H2331","חָוָה","châvâh","khaw-vah'","a primitive root; (compare חֲוָא, חָיָה); properly, to live; by implication (intensively) to declare or show; show.","Verb","heb"
"H2332","חַוָּה","Chavvâh","khav-vaw'","causatively from חָוָה; life-giver; Chavvah (or Eve), the first woman; Eve.","Proper Name Feminine","x-pn"
"H2333","חַוָּה","chavvâh","khav-vaw'","properly, the same as חַוָּה (lifegiving, i.e. living-place); by implication, an encampment or village; (small) town.","Noun Feminine","heb"
"H2334","חַוּוֹת יָעִיר","Chavvôwth Yâʻîyr","khav-vothe' yaw-eer'","from the plural of חַוָּה and a modification of יָעוּר; hamlets of Jair, a region of Palestine; (Bashan-) Havoth-jair.","Proper Name Location","x-pn"
"H2335","חוֹזַי","Chôwzay","kho-zah'-ee","from חֹזֶה; visionary; Chozai, an Israelite; the seers.","Noun Masculine","x-pn"
"H2336","חוֹחַ","chôwach","kho'-akh","from an unused root apparently meaning to pierce; a thorn; by analogy, a ring forthe nose; bramble, thistle, thorn.","Noun Masculine","heb"
"H2337","חָוָח","châvâch","khaw-vawkh'","perhaps the same as חוֹחַ; a dell or crevice (as if pierced in the earth); thicket.","Noun Masculine","heb"
"H2338","חוּט","chûwṭ","khoot","(Aramaic) corresponding to the root of חוּט, perhaps as a denominative; to string together, i.e. (figuratively) to repair; join.","Verb","arc"
"H2339","חוּט","chûwṭ","khoot","from an unused root probably meaning to sew; a string; by implication, a measuring tape; cord, fillet, line, thread.","Noun Masculine","heb"
"H234","אַזְכָּרָה","ʼazkârâh","az-kaw-raw'","from זָכַר; a reminder; specifically remembrance-offering; memorial.","Noun Feminine","heb"
"H2340","חִוִּי","Chivvîy","khiv-vee'","perhaps from חַוָּה; a villager; a Chivvite, one of the aboriginal tribes of Palestine; Hivite.","Noun Masculine","x-pn"
"H2341","חֲוִילָה","Chăvîylâh","khav-ee-law'","probably from חוּל; circular; Chavilah, the name of two or three eastern regions; also perhaps of two men; Havilah.","","x-pn"
"H2342","חוּל","chûwl","khool","or חִיל; a primitive root; properly, to twist or whirl (in a circular or spiral manner), i.e. (specifically) to dance, to writhe in pain (especially of parturition) or fear; figuratively, to wait, to pervert; bear, (make to) bring forth, (make to) calve, dance, drive away, fall grievously (with pain), fear, form, great, grieve, (be) grievous, hope, look, make, be in pain, be much (sore) pained, rest, shake, shapen, (be) sorrow(-ful), stay, tarry, travail (with pain), tremble, trust, wait carefully (patiently), be wounded.","Verb","heb"
"H2343","חוּל","Chûwl","khool","from חוּל; a circle; Chul, a son of Aram; also the region settled by him; Hul.","Proper Name Masculine","x-pn"
"H2344","חוֹל","chôwl","khole","from חוּל; sand (as round or whirling particles); sand.","Noun Masculine","heb"
"H2345","חוּם","chûwm","khoom","from an unused root meaning to be warm, i.e. (by implication); sunburnt or swarthy (blackish); brown.","Adjective","heb"
"H2346","חוֹמָה","chôwmâh","kho-maw'","feminine active participle of an unused root apparently meaning to join; a wall of protection; wall, walled.","Noun Feminine","heb"
"H2347","חוּס","chûwç","khoos","a primitive root; properly, to cover, i.e. (figuratively) to compassionate; pity, regard, spare.","Verb","heb"
"H2348","חוֹף","chôwph","khofe","from an unused root meaning to cover; a cove (as a sheltered bay); coast (of the sea), haven, shore, (sea-) side.","Noun Masculine","heb"
"H2349","חוּפָם","Chûwphâm","khoo-fawm'","from the same as חוֹף; protection; Chupham, an Israelite; Hupham.","Proper Name Masculine","x-pn"
"H235","אָזַל","ʼâzal","aw-zal'","a primitive root; to go away, hence, to disappear; fail, gad about, go to and fro (but in Ezekiel 27:19 the word is rendered by many 'from Uzal,' by others 'yarn'), be gone (spent).","Verb","heb"
"H2350","חוּפָמִי","Chûwphâmîy","khoo-faw-mee'","patronymically from חוּפָם; a Chuphamite or descendant of Chupham; Huphamites.","Noun Masculine","x-pn"
"H2351","חוּץ","chûwts","khoots","or (shortened) חֻץ; (both forms feminine in the plural) from an unused root meaning to sever; properly, separate by awall, i.e. outside, outdoors; abroad, field, forth, highway, more, out(-side, -ward), street, without.","Noun Masculine","heb"
"H2352","חוּר","chûwr","khoor","or (shortened) חֻר; from an unused root probably meaning to bore; the crevice of a serpent; the cell of aprison; hole.","Noun Masculine","heb"
"H2353","חוּר","chûwr","khoor","from חָוַר; white linen; white.","Noun Masculine","heb"
"H2354","חוּר","Chûwr","khoor","the same as חוּר or חוּר; Chur, the name of four Israelites and one Midianite; Hur.","Proper Name Masculine","x-pn"
"H2355","חוֹר","chôwr","khore","the same as חוּר; white linen; network. Compare חֹר.","Noun Masculine","heb"
"H2356","חוֹר","chôwr","khore","or (shortened) חֹר; the same as חוּר; a cavity, socket, den; cave, hole.","Noun Masculine","heb"
"H2357","חָוַר","châvar","khaw-var'","a primitive root; to blanch (as with shame); wax pale.","Verb","heb"
"H2358","חִוָּר","chivvâr","khiv-vawr'","(Aramaic) from a root corresponding to חָוַר; white; white.","Adjective","arc"
"H2359","חוּרִי","Chûwrîy","khoo-ree'","probably from חוּר; linen-worker; Churi, an Israelite; Huri.","Proper Name Masculine","x-pn"
"H236","אֲזַל","ʼăzal","az-al'","(Aramaic) the same as אָזַל; to depart; go (up).","Verb","arc"
"H2360","חוּרַי","Chûwray","khoo-rah'ee","probably an orthographical variation for חוּרִי; Churai, an Israelite; Hurai.","Proper Name Masculine","x-pn"
"H2361","חוּרָם","Chûwrâm","khoo-rawm'","probably from חוּר; whiteness, i.e. noble; Churam, the name of an Israelite and two Syrians; Huram. Compare חִירָם.","Proper Name Masculine","x-pn"
"H2362","חַוְרָן","Chavrân","khav-rawn'","apparently from חָוַר (in the sense of חוּר); cavernous; Chavran, a region East of the Jordan; Hauran.","Proper Name Location","x-pn"
"H2363","חוּשׁ","chûwsh","koosh","a primitive root; to hurry; figuratively, to be eager with excitement or enjoyment; (make) haste(-n), ready.","Verb","heb"
"H2364","חוּשָׁה","Chûwshâh","khoo-shaw'","from חוּשׁ; haste; Chushah, an Israelite; Hushah.","Proper Name Masculine","x-pn"
"H2365","חוּשַׁי","Chûwshay","khoo-shah'-ee","from חוּשׁ; hasty; Chushai, an Israelite; Hushai.","Proper Name Masculine","x-pn"
"H2366","חוּשִׁים","Chûwshîym","khoo-sheem'","or חֻשִׁים; or חֻשִׁם; plural from חוּשׁ; hasters; Chushim, the name of three Israelites; Hushim.","","x-pn"
"H2367","חוּשָׁם","Chûwshâm","khoo-shawm'","or חֻשָׁם; from חוּשׁ; hastily; Chusham, an Idumaean; Husham.","Proper Name Masculine","x-pn"
"H2368","חוֹתָם","chôwthâm","kho-thawm'","or חֹתָם; from חָתַם; a signature-ring; seal, signet.","Noun Masculine","heb"
"H2369","חוֹתָם","Chôwthâm","kho-thawm'","the same as חוֹתָם; seal; Chotham, the name of two Israelites; Hotham, Hothan.","Proper Name Masculine","x-pn"
"H237","אֶזֶל","ʼezel","eh'-zel","from אָזַל; departure; Ezel, a memorial stone in Palestine; Ezel.","Proper Name Location","x-pn"
"H2370","חֲזָא","chăzâʼ","khaz-aw'","(Aramaic) or חֲזָה; (Aramaic), corresponding to חָזָה; to gaze upon; mentally to dream, be usual (i.e. seem); behold, have (a dream), see, be wont.","Verb","arc"
"H2371","חֲזָאֵל","Chăzâʼêl","khaz-aw-ale'","or חֲזָהאֵל; from חָזָה and אֵל; God has seen; Chazael, a king of Syria; Hazael.","Proper Name Masculine","x-pn"
"H2372","חָזָה","châzâh","khaw-zaw'","a primitive root; to gaze at; mentally to perceive, contemplate (with pleasure); specifically, to have avision of; behold, look, prophesy, provide, see.","Verb","heb"
"H2373","חָזֶה","châzeh","khaw-zeh'","from חָזָה; the breast (as most seen in front); breast.","Noun Masculine","heb"
"H2374","חֹזֶה","chôzeh","kho-zeh'","active participle of חָזָה; a beholder in vision; also a compact (as looked upon with approval); agreement, prophet, see that, seer, (star-) gazer.","Noun Masculine","heb"
"H2375","חֲזוֹ","Chăzôw","khaz-o'","from חָזָה; seer; Chazo, a nephew of Abraham; Hazo.","Proper Name Masculine","x-pn"
"H2376","חֵזֵו","chêzêv","khay'-zev","(Aramaic) from חֲזָא; a sight; look, vision.","Noun Masculine","arc"
"H2377","חָזוֹן","châzôwn","khaw-zone'","from חָזָה; a sight (mentally), i.e. a dream, revelation, or oracle; vision.","Noun Masculine","heb"
"H2378","חָזוֹת","châzôwth","khaw-zooth'","from חָזָה; a revelation; vision.","Noun Feminine","heb"
"H2379","חֲזוֹת","chăzôwth","khaz-oth'","(Aramaic) from חֲזָא; a view; sight.","Noun Feminine","arc"
"H238","אָזַן","ʼâzan","aw-zan'","a primitive root; probably to expand; but used only as a denominative from אֹזֶן; to broaden out the ear (with the hand), i.e. (by implication) to listen; give (perceive by the) ear, hear(-ken). See אָזַן.","Verb","heb"
"H2380","חָזוּת","châzûwth","khaw-zooth'","from חָזָה; a look; hence (figuratively) striking appearance, revelation, or (by implication) compact; agreement, notable (one), vision.","Noun Feminine","heb"
"H2381","חֲזִיאֵל","Chăzîyʼêl","khaz-ee-ale'","from חָזָה and אֵל; seen of God; Chaziel, a Levite; Haziel.","Proper Name Masculine","x-pn"
"H2382","חֲזָיָה","Chăzâyâh","khaz-aw-yaw'","from חָזָה and יָהּ; Jah has seen; Chazajah, an Israelite; Hazaiah.","Proper Name Masculine","x-pn"
"H2383","חֶזְיוֹן","Chezyôwn","khez-yone'","from חָזָה; vision; Chezjon, a Syrian; Hezion.","Proper Name Masculine","x-pn"
"H2384","חִזָּיוֹן","chizzâyôwn","khiz-zaw-yone'","from חָזָה; a revelation, expectation by dream; vision.","Noun Masculine","heb"
"H2385","חֲזִיז","chăzîyz","khaw-zeez'","from an unused root meaning to glare; a flash of lightning; bright cloud, lightning.","Noun Masculine","heb"
"H2386","חֲזִיר","chăzîyr","khaz-eer'","from an unused root probably meaning to enclose; a hog (perhaps as penned); boar, swine.","Noun Masculine","heb"
"H2387","חֵזִיר","Chêzîyr","khay-zeer'","from the same as חֲזִיר; perhaps protected; Chezir, the name of two Israelites; Hezir.","Proper Name Masculine","x-pn"
"H2388","חָזַק","châzaq","khaw-zak'","a primitive root; to fasten upon; hence, to seize, be strong (figuratively, courageous, causatively strengthen, cure, help, repair, fortify), obstinate; to bind, restrain, conquer; aid, amend, [idiom] calker, catch, cleave, confirm, be constant, constrain, continue, be of good (take) courage(-ous, -ly), encourage (self), be established, fasten, force, fortify, make hard, harden, help, (lay) hold (fast), lean, maintain, play the man, mend, become (wax) mighty, prevail, be recovered, repair, retain, seize, be (wax) sore, strengthen (self), be stout, be (make, shew, wax) strong(-er), be sure, take (hold), be urgent, behave self valiantly, withstand.","Verb","heb"
"H2389","חָזָק","châzâq","khaw-zawk'","from חָזַק; strong (usu. in a bad sense, hard, bold, violent); harder, hottest, [phrase] impudent, loud, mighty, sore, stiff(-hearted), strong(-er).","Adjective","heb"
"H239","אָזַן","ʼâzan","aw-zan'","a primitive root (rather identical with אָזַן through the idea of scales as if two ears); to weigh, i.e. (figuratively) ponder; give good heed.","Verb","heb"
"H2390","חָזֵק","châzêq","khaw-zake'","from חָזַק; powerful; [idiom] wax louder, stronger.","Adjective","heb"
"H2391","חֵזֶק","chêzeq","khay'-zek","from חָזַק; help; strength.","Noun Masculine","heb"
"H2392","חֹזֶק","chôzeq","kho'-zek","from חָזַק; power; strength.","Noun Masculine","heb"
"H2393","חֶזְקָה","chezqâh","khez-kaw'","feminine of חֵזֶק; prevailing power; strength(-en self), (was) strong.","Noun Feminine","heb"
"H2394","חׇזְקָה","chozqâh","khoz-kaw'","feminine of חֹזֶק; vehemence (usually in a bad sense); force, mightily, repair, sharply.","Noun Feminine","heb"
"H2395","חִזְקִי","Chizqîy","khiz-kee'","from חָזַק; strong; Chizki, an Israelite; Hezeki.","Proper Name Masculine","x-pn"
"H2396","חִזְקִיָּה","Chizqîyâh","khiz-kee-yaw'","or חִזְקִיָּהוּ; also יְחִזְקִיָּה; or יְחִזְקִיָּהוּ; from חָזַק and יָהּ; strengthened of Jah; Chizkijah, a king of Judah, also the name of two other Israelites; Hezekiah, Hizkiah, Hizkijah. Compare יְחִזְקִיָּה.","Proper Name Masculine","x-pn"
"H2397","חָח","châch","khawkh","once (Ezekiel 29:4) חָחִי; from the same as חוֹחַ; a ring for the nose (or lips); bracelet, chain, hook.","Noun Masculine","heb"
"H2398","חָטָא","châṭâʼ","khaw-taw'","a primitive root; properly, to miss; hence (figuratively and generally) to sin; by inference, to forfeit, lack, expiate, repent, (causatively) lead astray, condemn; bear the blame, cleanse, commit (sin), by fault, harm he hath done, loss, miss, (make) offend(-er), offer for sin, purge, purify (self), make reconciliation, (cause, make) sin(-ful, -ness), trespass.","Verb","heb"
"H2399","חֵטְא","chêṭᵉʼ","khate","from חָטָא; a crime or its penalty; fault, [idiom] grievously, offence, (punishment of) sin.","Noun Masculine","heb"
"H24","אָבִיב","ʼâbîyb","aw-beeb'","from an unused root (meaning to be tender); green, i.e. a young ear of grain; hence, the name of the month Abib or Nisan; Abib, ear, green ears of corn (not maize).","Noun Masculine","heb"
"H240","אָזֵן","ʼâzên","aw-zane'","from אָזַן; a spade or paddle (as having a broad end); weapon.","Noun Masculine","heb"
"H2400","חַטָּא","chaṭṭâʼ","khat-taw'","intensively from חָטָא; a criminal, or one accounted guilty; offender, sinful, sinner.","","heb"
"H2401","חֲטָאָה","chăṭâʼâh","khat-aw-aw'","feminine of חֵטְא; an offence, or a sacrifice forit; sin (offering).","Noun Feminine","heb"
"H2402","חַטָּאָה","chaṭṭâʼâh","khat-taw-aw'","(Aramaic) corresponding to חֲטָאָה; an offence, and the penalty or sacrifice forit; sin (offering).","Noun Feminine","arc"
"H2403","חַטָּאָה","chaṭṭâʼâh","khat-taw-aw'","or חַטָּאת; from חָטָא; an offence (sometimes habitual sinfulness), and its penalty, occasion, sacrifice, or expiation; also (concretely) an offender; punishment (of sin), purifying(-fication for sin), sin(-ner, offering).","Noun Feminine","heb"
"H2404","חָטַב","châṭab","khaw-tab'","a primitive root; to chop or carve wood; cut down, hew(-er), polish.","Verb","heb"
"H2405","חֲטֻבָה","chăṭubâh","khat-oo-baw'","feminine passive participle of חָטַב; properly, a carving; hence, a tapestry (as figured); carved.","Noun Feminine","heb"
"H2406","חִטָּה","chiṭṭâh","khit-taw'","of uncertain derivation; wheat, whether the grain or the plant; wheat(-en).","Noun Feminine","heb"
"H2407","חַטּוּשׁ","Chaṭṭûwsh","khat-toosh'","from an unused root of uncertain signification; Chattush, the name of four or five Israelites; Hattush.","Proper Name Masculine","x-pn"
"H2408","חֲטִי","chăṭîy","khat-ee'","(Aramaic) from a root corresponding to חָטָא; an offence; sin.","Noun Masculine","arc"
"H2409","חֲטָּיָא","chăṭṭâyâʼ","khat-taw-yaw'","(Aramaic) from the same as חֲטִי; an expiation; sin offering.","Noun Feminine","arc"
"H241","אֹזֶן","ʼôzen","o'-zen","from אָזַן; broadness. i.e. (concrete) the ear (from its form in man); [phrase] advertise, audience, [phrase] displease, ear, hearing, [phrase] show.","Noun Feminine","heb"
"H2410","חֲטִיטָא","Chăṭîyṭâʼ","khat-ee-taw'","from an unused root apparently meaning to dig out; explorer; Chatita, a temple porter; Hatita.","Proper Name Masculine","x-pn"
"H2411","חַטִּיל","Chaṭṭîyl","khat-teel'","from an unused root apparently meaning to wave; fluctuating; Chattil, one of 'Solomon's servants'; Hattil.","Proper Name Masculine","x-pn"
"H2412","חֲטִיפָא","Chăṭîyphâʼ","khat-ee-faw'","from חָטַף; robber; Chatipha, one of the Nethinim; Hatipha.","Proper Name Masculine","x-pn"
"H2413","חָטַם","châṭam","khaw-tam'","a primitive root; to stop; refrain.","Verb","heb"
"H2414","חָטַף","châṭaph","khaw-taf'","a primitive root; to clutch; hence, to seize as aprisoner; catch.","Verb","heb"
"H2415","חֹטֵר","chôṭêr","kho'-ter","from an unused root of uncertain signification; a twig; rod.","Noun Masculine","heb"
"H2416","חַי","chay","khah'-ee","from חָיָה; alive; hence, raw (flesh); fresh (plant, water, year), strong; also (as noun, especially in the feminine singular and masculine plural) life (or living thing), whether literally or figuratively; [phrase] age, alive, appetite, (wild) beast, company, congregation, life(-time), live(-ly), living (creature, thing), maintenance, [phrase] merry, multitude, [phrase] (be) old, quick, raw, running, springing, troop.","","heb"
"H2417","חַי","chay","khah'-ee","(Aramaic) from חֲיָא; alive; also (as noun in plural) life; life, that liveth, living.","Adjective","arc"
"H2418","חֲיָא","chăyâʼ","khah-yaw'","(Aramaic) or חֲיָה; (Aramaic), corresponding to חָיָה; to live; live, keep alive.","Verb","arc"
"H2419","חִיאֵל","Chîyʼêl","khee-ale'","from חַי and אֵל; living of God; Chiel, an Israelite; Hiel.","Proper Name Masculine","x-pn"
"H242","אֻזֵּן שֶׁאֱרָה","ʼUzzên Sheʼĕrâh","ooz-zane' sheh-er-aw'","from אָזַן and שֶׁאֱרָה; plot of Sheerah (i.e. settled by him); Uzzen-Sheerah, a place in Palestine; Uzzen-sherah.","Proper Name Location","x-pn"
"H2420","חִידָה","chîydâh","khee-daw'","from חוּד; a puzzle, hence, a trick, conundrum, sententious maxim; dark saying (sentence, speech), hard question, proverb, riddle.","Noun Feminine","heb"
"H2421","חָיָה","châyâh","khaw-yaw'","a primitive root (compare חָוָה, חָיָה); to live, whether literally or figuratively; causatively, to revive; keep (leave, make) alive, [idiom] certainly, give (promise) life, (let, suffer to) live, nourish up, preserve (alive), quicken, recover, repair, restore (to life), revive, ([idiom] God) save (alive, life, lives), [idiom] surely, be whole.","Verb","heb"
"H2422","חָיֶה","châyeh","khaw-yeh'","from חָיָה; vigorous; lively.","Adjective","heb"
"H2423","חֵיוָא","chêyvâʼ","khay-vaw'","(Aramaic) from חֲיָא; an animal; beast.","Noun Feminine","arc"
"H2424","חַיּוּת","chayûwth","khah-yooth'","from חָיָה; life; [idiom] living.","Noun Feminine","heb"
"H2425","חָיַי","châyay","khaw-yah'-ee","a primitive root (compare חָיָה); to live; causatively to revive; live, save life.","Verb","heb"
"H2426","חֵיל","chêyl","khale","or (shortened) חֵל; a collateral form of חַיִל; an army; also (by analogy,) an intrenchment; army, bulwark, host, [phrase] poor, rampart, trench, wall.","Noun Masculine","heb"
"H2427","חִיל","chîyl","kheel","and (feminine) חִילָה; from חוּל; a throe (expectant of childbirth); pain, pang, sorrow.","Noun Masculine","heb"
"H2428","חַיִל","chayil","khah'-yil","from חוּל; probably a force, whether of men, means or other resources; an army, wealth, virtue, valor, strength; able, activity, ([phrase]) army, band of men (soldiers), company, (great) forces, goods, host, might, power, riches, strength, strong, substance, train, ([phrase]) valiant(-ly), valour, virtuous(-ly), war, worthy(-ily).","Noun Masculine","heb"
"H2429","חַיִל","chayil","khah'-yil","(Aramaic) corresponding to חַיִל; an army, or strength; aloud, army, [idiom] most (mighty), power.","Noun Masculine","arc"
"H243","אַזְנוֹת תָּבוֹר","ʼAznôwth Tâbôwr","az-noth' taw-bore'","from אָזַן and תָּבוֹר; flats (i.e. tops) of Tabor (i.e. situated on it); Aznoth-Tabor, a place in Palestine; Aznoth-tabor.","Proper Name Location","x-pn"
"H2430","חֵילָה","chêylâh","khay-law'","feminine of חַיִל; an intrenchment; bulwark.","Noun Feminine","heb"
"H2431","חֵילָם","Chêylâm","khay-lawm'","or חֵלָאםxlit Chêlʼâm corrected to Chêlâʼm; from חַיִל; fortress; Chelam, a place East of Palestine; Helam.","Proper Name Masculine","x-pn"
"H2432","חִילֵן","Chîylên","khee-lane'","from חַיִל; fortress; Chilen, a place in Palestine; Hilen.","Proper Name Location","x-pn"
"H2433","חִין","chîyn","kheen","another form for חֵן; beauty; comely.","Noun Masculine","heb"
"H2434","חַיִץ","chayits","khah'-yits","another form for חוּץ; a wall; wall.","Noun Masculine","heb"
"H2435","חִיצוֹן","chîytsôwn","khee-tsone'","from חַיִץ; properly, the (outer) wall side; hence, exterior; figuratively, secular (as opposed to sacred); outer, outward, utter, without.","Adjective","heb"
"H2436","חֵיק","chêyq","khake","or חֵק; and חוֹק; from an unused root, apparently meaning to inclose; the bosom (literally or figuratively); bosom, bottom, lap, midst, within.","Noun Masculine","heb"
"H2437","חִירָה","Chîyrâh","khee-raw'","from חָוַר in the sense of splendor; Chirah, an Adullamite; Hirah.","Proper Name Masculine","x-pn"
"H2438","חִירָם","Chîyrâm","khee-rawm'","or חִירוֹםlemma חִירֹם missing vav, corrected to חִירוֹם; another form of חוּרָם; Chiram or Chirom, the name of two Tyrians; Hiram, Huram.","Proper Name Masculine","x-pn"
"H2439","חִישׁ","chîysh","kheesh","another form of חוּשׁ; to hurry; make haste.","Verb","heb"
"H244","אׇזְנִי","ʼOznîy","oz-nee'","from אֹזֶן; having (quick) ears; Ozni, an Israelite; also an Oznite (collectively), his descendant; Ozni, Oznites.","Proper Name Masculine","x-pn"
"H2440","חִישׁ","chîysh","kheesh","from חִישׁ; properly, a hurry; hence (adverb) quickly; soon.","Adverb","heb"
"H2441","חֵךְ","chêk","khake","probably from חָנַךְ in the sense of tasting; properly, the palate or inside of the mouth; hence, the mouth itself (as the organ of speech, taste and kissing); (roof of the) mouth, taste.","Noun Masculine","heb"
"H2442","חָכָה","châkâh","khaw-kaw'","a primitive root (apparently akin to חָקָה through the idea of piercing); properly, to adhere to; hence, to await; long, tarry, wait.","Verb","heb"
"H2443","חַכָּה","chakkâh","khak-kaw'","probably from חָכָה; a hook (as adhering); angle, hook.","Noun Feminine","heb"
"H2444","חֲכִילָה","Chăkîylâh","khak-ee-law'","from the same as חַכְלִיל; dark; Chakilah, a hill in Palestine; Hachilah.","Proper Name Location","x-pn"
"H2445","חַכִּים","chakkîym","khak-keem'","(Aramaic) from a root corresponding to חָכַם; wise, i.e. a Magian; wise.","Adjective","arc"
"H2446","חֲכַלְיָה","Chăkalyâh","khak-al-yaw'","from the base of חַכְלִיל and יָהּ; darkness of Jah; Chakaljah, an Israelite; Hachaliah.","Proper Name Masculine","x-pn"
"H2447","חַכְלִיל","chaklîyl","khak-leel'","by reduplication from an unused root apparently meaning to be dark; darkly flashing (only of the eyes); in a good sense, brilliant (as stimulated by wine); red.","Adjective Masculine","heb"
